image,width,height,downsample_method,upsample_method,psnr,time_downsample_ms
1.png,768,512,baseline,baseline,31.61238180763755,13.831377029418945
1.png,768,512,nearest,baseline,31.573236248663616,0.0
1.png,768,512,average,baseline,31.61238180763755,14.715194702148438
10.png,512,768,baseline,baseline,35.15868401661326,9.87100601196289
10.png,512,768,nearest,baseline,35.143737612412956,0.0
10.png,512,768,average,baseline,35.15868401661326,2.155780792236328
11.png,768,512,baseline,baseline,33.30867698475468,11.204004287719727
11.png,768,512,nearest,baseline,33.26308828447709,0.0
11.png,768,512,average,baseline,33.30867698475468,4.959821701049805
12.png,768,512,baseline,baseline,35.30016247157838,17.973899841308594
12.png,768,512,nearest,baseline,35.24274995122696,0.0
12.png,768,512,average,baseline,35.30016247157838,0.0
13.png,768,512,baseline,baseline,30.644963391581253,7.996082305908203
13.png,768,512,nearest,baseline,30.633468791921338,0.0
13.png,768,512,average,baseline,30.644963391581253,0.0
14.png,768,512,baseline,baseline,32.392247439743215,7.983684539794922
14.png,768,512,nearest,baseline,32.33091856281206,1.0139942169189453
14.png,768,512,average,baseline,32.392247439743215,0.0
15.png,768,512,baseline,baseline,34.43991995395502,1.8770694732666016
15.png,768,512,nearest,baseline,34.365610503470194,0.0
15.png,768,512,average,baseline,34.43991995395502,18.175363540649414
16.png,768,512,baseline,baseline,34.326754815985524,13.36526870727539
16.png,768,512,nearest,baseline,34.28277248946685,0.0
16.png,768,512,average,baseline,34.326754815985524,10.931253433227539
17.png,512,768,baseline,baseline,34.98624611385103,6.595849990844727
17.png,512,768,nearest,baseline,34.9848975915888,0.0
17.png,512,768,average,baseline,34.98624611385103,6.031274795532227
18.png,512,768,baseline,baseline,32.37775062646151,9.520530700683594
18.png,512,768,nearest,baseline,32.35980915895526,0.0
18.png,512,768,average,baseline,32.37775062646151,6.041288375854492
19.png,512,768,baseline,baseline,33.556500247055496,12.591123580932617
19.png,512,768,nearest,baseline,33.54255823253473,0.0
19.png,512,768,average,baseline,33.556500247055496,5.002737045288086
2.png,768,512,baseline,baseline,33.79089516023136,7.994890213012695
2.png,768,512,nearest,baseline,33.61762691215528,0.0
2.png,768,512,average,baseline,33.79089516023136,5.044221878051758
20.png,768,512,baseline,baseline,35.006464647200836,9.409427642822266
20.png,768,512,nearest,baseline,34.980859169932614,0.0
20.png,768,512,average,baseline,35.006464647200836,9.402036666870117
21.png,768,512,baseline,baseline,33.376769771501536,12.033224105834961
21.png,768,512,nearest,baseline,33.33784267348478,0.0
21.png,768,512,average,baseline,33.376769771501536,10.046005249023438
22.png,768,512,baseline,baseline,33.168847276153805,11.815071105957031
22.png,768,512,nearest,baseline,33.123055963843456,0.0
22.png,768,512,average,baseline,33.168847276153805,9.993553161621094
23.png,768,512,baseline,baseline,35.91661771509859,9.824037551879883
23.png,768,512,nearest,baseline,35.8438103622468,0.0
23.png,768,512,average,baseline,35.91661771509859,3.9937496185302734
24.png,768,512,baseline,baseline,32.79682583019154,12.710809707641602
24.png,768,512,nearest,baseline,32.765764302088755,0.0
24.png,768,512,average,baseline,32.79682583019154,2.9993057250976562
3.png,768,512,baseline,baseline,35.635469137873564,5.683660507202148
3.png,768,512,nearest,baseline,35.56646446217747,0.0
3.png,768,512,average,baseline,35.635469137873564,6.005048751831055
4.png,512,768,baseline,baseline,34.1399006404665,15.459060668945312
4.png,512,768,nearest,baseline,34.0706534390107,0.0
4.png,512,768,average,baseline,34.1399006404665,9.869575500488281
5.png,768,512,baseline,baseline,31.680160466409024,9.131908416748047
5.png,768,512,nearest,baseline,31.636948366107593,0.0
5.png,768,512,average,baseline,31.680160466409024,10.803699493408203
6.png,768,512,baseline,baseline,32.81717915845752,11.933565139770508
6.png,768,512,nearest,baseline,32.7851611822967,0.0
6.png,768,512,average,baseline,32.81717915845752,4.999637603759766
7.png,768,512,baseline,baseline,35.037452371225626,0.0
7.png,768,512,nearest,baseline,34.9432877292677,0.0
7.png,768,512,average,baseline,35.037452371225626,17.17686653137207
8.png,768,512,baseline,baseline,31.578179810604098,8.839607238769531
8.png,768,512,nearest,baseline,31.54039211659994,0.0
8.png,768,512,average,baseline,31.578179810604098,4.008054733276367
9.png,512,768,baseline,baseline,35.45302911100139,12.445449829101562
9.png,512,768,nearest,baseline,35.42800366464377,0.0
9.png,512,768,average,baseline,35.45302911100139,4.997014999389648
Lena.png,512,512,baseline,baseline,33.29787931792239,14.131784439086914
Lena.png,512,512,nearest,baseline,33.208915495237285,0.0
Lena.png,512,512,average,baseline,33.29787931792239,0.0
