image,width,height,downsample_method,upsample_method,psnr,time_upsample_ms
1.png,768,512,baseline,baseline,31.61238180763755,0.0
1.png,768,512,baseline,bilinear,31.66446248394706,26.229381561279297
1.png,768,512,baseline,bicubic,31.625876758054943,15.937566757202148
10.png,512,768,baseline,baseline,35.15868401661326,0.0
10.png,512,768,baseline,bilinear,35.261254975398614,31.787395477294922
10.png,512,768,baseline,bicubic,35.18228986373961,10.909318923950195
11.png,768,512,baseline,baseline,33.30867698475468,0.0
11.png,768,512,baseline,bilinear,33.38644659611918,50.347089767456055
11.png,768,512,baseline,bicubic,33.31819265129997,16.837358474731445
12.png,768,512,baseline,baseline,35.30016247157838,0.0
12.png,768,512,baseline,bilinear,35.40073787390217,33.61248970031738
12.png,768,512,baseline,bicubic,35.325351574501646,4.238128662109375
13.png,768,512,baseline,baseline,30.644963391581253,15.315532684326172
13.png,768,512,baseline,bilinear,30.668554988043898,33.376455307006836
13.png,768,512,baseline,bicubic,30.649913133602183,17.02141761779785
14.png,768,512,baseline,baseline,32.392247439743215,0.0
14.png,768,512,baseline,bilinear,32.493965131200106,33.55836868286133
14.png,768,512,baseline,bicubic,32.42052118234068,0.0
15.png,768,512,baseline,baseline,34.43991995395502,0.0
15.png,768,512,baseline,bilinear,34.575861185589275,50.01950263977051
15.png,768,512,baseline,bicubic,34.469809630375956,16.788482666015625
16.png,768,512,baseline,baseline,34.326754815985524,16.736745834350586
16.png,768,512,baseline,bilinear,34.38076658034842,33.69450569152832
16.png,768,512,baseline,bicubic,34.34495606270928,16.877412796020508
17.png,512,768,baseline,baseline,34.98624611385103,0.0
17.png,512,768,baseline,bilinear,35.03941909422453,33.73360633850098
17.png,512,768,baseline,bicubic,35.00553432125535,0.4448890686035156
18.png,512,768,baseline,baseline,32.37775062646151,0.0
18.png,512,768,baseline,bilinear,32.459081456203805,31.633615493774414
18.png,512,768,baseline,bicubic,32.39970410593693,0.0
19.png,512,768,baseline,baseline,33.556500247055496,0.0
19.png,512,768,baseline,bilinear,33.61068711307706,34.03329849243164
19.png,512,768,baseline,bicubic,33.56698530787157,0.0
2.png,768,512,baseline,baseline,33.79089516023136,0.0
2.png,768,512,baseline,bilinear,34.008237613465575,50.4765510559082
2.png,768,512,baseline,bicubic,33.826229054841306,1.462697982788086
20.png,768,512,baseline,baseline,35.006464647200836,16.908884048461914
20.png,768,512,baseline,bilinear,35.082489419749365,33.53738784790039
20.png,768,512,baseline,bicubic,35.0310241087941,0.0
21.png,768,512,baseline,baseline,33.376769771501536,0.0
21.png,768,512,baseline,bilinear,33.44504448217704,33.5085391998291
21.png,768,512,baseline,bicubic,33.39789739670744,16.838550567626953
22.png,768,512,baseline,baseline,33.168847276153805,17.68946647644043
22.png,768,512,baseline,bilinear,33.27096116858537,33.78796577453613
22.png,768,512,baseline,bicubic,33.19168376241927,17.064809799194336
23.png,768,512,baseline,baseline,35.91661771509859,16.65949821472168
23.png,768,512,baseline,bilinear,36.20553856537071,50.25625228881836
23.png,768,512,baseline,bicubic,35.990664689802344,16.95561408996582
24.png,768,512,baseline,baseline,32.79682583019154,15.422582626342773
24.png,768,512,baseline,bilinear,32.85390440515237,50.42576789855957
24.png,768,512,baseline,bicubic,32.81339201043674,1.4526844024658203
3.png,768,512,baseline,baseline,35.635469137873564,0.0
3.png,768,512,baseline,bilinear,35.77383164349638,33.559322357177734
3.png,768,512,baseline,bicubic,35.6733765230969,17.334699630737305
4.png,512,768,baseline,baseline,34.1399006404665,0.0
4.png,512,768,baseline,bilinear,34.28880846487513,49.44133758544922
4.png,512,768,baseline,bicubic,34.16780546899635,0.0
5.png,768,512,baseline,baseline,31.680160466409024,0.0
5.png,768,512,baseline,bilinear,31.77827672940614,50.41241645812988
5.png,768,512,baseline,bicubic,31.71116386711603,16.94512367248535
6.png,768,512,baseline,baseline,32.81717915845752,0.0
6.png,768,512,baseline,bilinear,32.866017083987884,50.19187927246094
6.png,768,512,baseline,bicubic,32.83303805038811,16.3726806640625
7.png,768,512,baseline,baseline,35.037452371225626,16.3571834564209
7.png,768,512,baseline,bilinear,35.22011105242311,33.38313102722168
7.png,768,512,baseline,bicubic,35.055006054595815,1.0833740234375
8.png,768,512,baseline,baseline,31.578179810604098,0.0
8.png,768,512,baseline,bilinear,31.639659465078665,33.573150634765625
8.png,768,512,baseline,bicubic,31.595004846524045,15.692472457885742
9.png,512,768,baseline,baseline,35.45302911100139,0.0
9.png,512,768,baseline,bilinear,35.55666589177507,50.292015075683594
9.png,512,768,baseline,bicubic,35.47402369421516,0.0
Lena.png,512,512,baseline,baseline,33.29787931792239,4.904508590698242
Lena.png,512,512,baseline,bilinear,33.44466946471191,17.172574996948242
Lena.png,512,512,baseline,bicubic,33.312808333517346,16.369342803955078
